mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cvec__max_df,param_cvec__max_features,param_cvec__min_df,param_cvec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04863243103027344,0.008399996612625573,0.014538431167602539,0.006962644287819975,0.9,3000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.7290969899665551,0.6822742474916388,0.7424749163879598,0.7348993288590604,0.7249062871764943,0.0217344774231788,3
0.09929633140563965,0.007919794029297201,0.016913700103759765,0.0028131179334596676,0.9,3000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.7591973244147158,0.705685618729097,0.6889632107023411,0.7591973244147158,0.7214765100671141,0.7269039976655968,0.02830158457318763,1
0.042881345748901366,0.005648119151893794,0.0037966251373291017,0.004661432966296313,0.9,3000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.725752508361204,0.6889632107023411,0.7224080267558528,0.7114093959731543,0.716863818993962,0.015974910791346223,19
0.10829281806945801,0.017847303786676608,0.018749237060546875,0.006894721295321063,0.9,3000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.7391304347826086,0.7123745819397993,0.6889632107023411,0.7625418060200669,0.7181208053691275,0.7242261677627887,0.02494568895655232,13
0.03672370910644531,0.008648735066959238,0.008109521865844727,0.004994287512506354,0.9,4000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.7290969899665551,0.6822742474916388,0.7424749163879598,0.7348993288590604,0.7249062871764943,0.0217344774231788,3
0.10000715255737305,0.008006272915535245,0.015764427185058594,0.00014568771289161412,0.9,4000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.745819397993311,0.7157190635451505,0.6789297658862876,0.7591973244147158,0.714765100671141,0.7228861305021212,0.027906692837747674,15
0.034668779373168944,0.007529818674686596,0.010104894638061523,0.00606144329723855,0.9,4000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.725752508361204,0.6889632107023411,0.7224080267558528,0.7114093959731543,0.716863818993962,0.015974910791346223,19
0.09382386207580566,0.006471386494250996,0.018916845321655273,0.005237483554128727,0.9,4000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.7391304347826086,0.7123745819397993,0.6923076923076923,0.7625418060200669,0.7181208053691275,0.7248950640838588,0.024018796018427723,9
0.03843240737915039,0.007089998266879593,0.0047661781311035155,0.006294958828674975,0.9,5000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.7290969899665551,0.6822742474916388,0.7424749163879598,0.7348993288590604,0.7249062871764943,0.0217344774231788,3
0.10121512413024902,0.00587828982211494,0.015831565856933592,0.002185983783923109,0.9,5000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.7424749163879598,0.7090301003344481,0.6622073578595318,0.7558528428093646,0.7181208053691275,0.7175372045520862,0.03232361661007836,17
