mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11766343116760254,0.032163308069134054,0.007193231582641601,0.00075490265934726,100,l2,newton-cg,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.08956565856933593,0.051017326526647803,0.005584192276000976,0.000488772378107811,100,l2,lbfgs,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.02466106414794922,0.0036547047913237218,0.007391166687011719,0.0016197767567407639,100,l2,liblinear,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.06524643898010254,0.008362497414065414,0.008578157424926758,0.0038657799429256618,10,l2,newton-cg,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.03373818397521973,0.007026322893076253,0.007390022277832031,0.0029246111231270534,10,l2,lbfgs,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.018548011779785156,0.0016215295754582202,0.00678410530090332,0.0017154207428431935,10,l2,liblinear,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.04866971969604492,0.018593977704245826,0.0071814537048339845,0.0015957723677711005,1.0,l2,newton-cg,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.8758389261744967,0.9126050420168067,0.8974789915966387,0.8907563025210085,0.8935237719248773,0.01188973713335357,3
0.03251481056213379,0.008935817095176995,0.01096644401550293,0.005535626558433733,1.0,l2,lbfgs,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.8758389261744967,0.9126050420168067,0.8974789915966387,0.8907563025210085,0.8935237719248773,0.01188973713335357,3
0.03331160545349121,0.012111630450037549,0.006584072113037109,0.0014917363444945353,1.0,l2,liblinear,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.8758389261744967,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8931876374710959,0.011357378658154638,6
0.05604805946350098,0.008841059568841255,0.013766717910766602,0.014079927231201201,0.1,l2,newton-cg,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8942953020134228,0.87751677852349,0.9126050420168067,0.9025210084033614,0.8873949579831932,0.8948666177880547,0.01208644210899989,1
0.03251471519470215,0.008686485665172987,0.007380628585815429,0.0023266100495005046,0.1,l2,lbfgs,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8942953020134228,0.87751677852349,0.9126050420168067,0.9025210084033614,0.8873949579831932,0.8948666177880547,0.01208644210899989,1
0.018950653076171876,0.00367636668944795,0.006181526184082031,0.0003977817586852075,0.1,l2,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8926174496644296,0.8758389261744967,0.9092436974789916,0.8974789915966387,0.892436974789916,0.8935232079408945,0.010747242788320113,5
0.044939279556274414,0.004992097593191027,0.005491495132446289,0.0009120156944660781,0.01,l2,newton-cg,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8758389261744967,0.8741610738255033,0.9025210084033614,0.8907563025210085,0.8857142857142857,0.885798319327731,0.010381252176621338,14
0.02575960159301758,0.0033082992091018164,0.005097103118896484,0.0006679174585334543,0.01,l2,lbfgs,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8758389261744967,0.8741610738255033,0.9025210084033614,0.8907563025210085,0.8857142857142857,0.885798319327731,0.010381252176621338,14
0.01681075096130371,0.0030205917633301083,0.006266355514526367,0.001909366553493593,0.01,l2,liblinear,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8942953020134228,0.8708053691275168,0.9042016806722689,0.892436974789916,0.8957983193277311,0.8915075291861712,0.011106460638310767,13
