mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cvec__max_df,param_cvec__max_features,param_cvec__min_df,param_cvec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24791250228881836,0.010179618126820151,0.05179238319396973,0.005123497636313691,0.9,3000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.9455825864276568,0.9545454545454546,0.9500640204865557,0.9481434058898848,0.9513132607303011,0.9499297456159705,0.003010837603050129,15
0.8822844505310059,0.016213510142501653,0.10013136863708497,0.013039897442887473,0.9,3000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.9462227912932138,0.9430217669654289,0.9449423815620999,0.9513444302176697,0.9513132607303011,0.9473689261537427,0.0033900426131960436,21
0.23837385177612305,0.01580889065961016,0.05398306846618652,0.007667272680170054,0.9,3000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.9481434058898848,0.9558258642765685,0.9507042253521126,0.9494238156209988,0.9506726457399103,0.950953991375895,0.002612183477816356,9
0.8322141170501709,0.03375568442856671,0.09228878021240235,0.004763984945064094,0.9,3000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.9481434058898848,0.9430217669654289,0.9443021766965429,0.9500640204865557,0.9513132607303011,0.9473689261537427,0.0032163293618056375,21
0.22694430351257325,0.0028848722891277045,0.050487184524536134,0.004980780596796846,0.9,4000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.9462227912932138,0.9519846350832266,0.9532650448143406,0.9475032010243278,0.9513132607303011,0.950057786589082,0.0027132475776872017,13
0.833729362487793,0.0334532706545026,0.09540085792541504,0.009663915418284857,0.9,4000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.9481434058898848,0.9468629961587708,0.9507042253521126,0.9468629961587708,0.9545163356822549,0.9494179918483588,0.0029095732260237474,19
0.2302614212036133,0.004418255882428962,0.04949727058410645,0.00421517711803233,0.9,4000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.9475032010243278,0.9532650448143406,0.9539052496798975,0.9449423815620999,0.9532351057014734,0.9505701965564277,0.00364870635774358,11
0.8315140247344971,0.029123996851597833,0.09541964530944824,0.010154332485052011,0.9,4000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.9481434058898848,0.9475032010243278,0.9507042253521126,0.9481434058898848,0.9545163356822549,0.9498021147676929,0.0026009735492652664,17
0.2639916896820068,0.01282090182280508,0.05312581062316894,0.0014018344409102799,0.9,5000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.9494238156209988,0.9526248399487837,0.9513444302176697,0.9513444302176697,0.9532351057014734,0.9515945243413191,0.0013107347512073945,5
0.8411822319030762,0.024690347237922114,0.09673981666564942,0.010702304037338455,0.9,5000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.9507042253521126,0.9468629961587708,0.9545454545454546,0.9500640204865557,0.9545163356822549,0.9513386064450298,0.002913414972686554,7
0.2404181480407715,0.014014041060845901,0.05002961158752441,0.006694548265802694,0.9,5000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.9487836107554417,0.9532650448143406,0.9507042253521126,0.9513444302176697,0.9538757206918642,0.9515946063662858,0.0018303502372507827,3
0.8400559425354004,0.038991242537055444,0.09205155372619629,0.008146688065480088,0.9,5000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.9513444302176697,0.9468629961587708,0.9551856594110115,0.9507042253521126,0.9545163356822549,0.951722729364364,0.002986422216105463,1
0.24170870780944825,0.008761828752467893,0.052628183364868165,0.003863798683674424,0.95,3000,2,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.9455825864276568,0.9545454545454546,0.9500640204865557,0.9481434058898848,0.9513132607303011,0.9499297456159705,0.003010837603050129,15
0.9072970390319824,0.08060873995610311,0.09585127830505372,0.012727380028431103,0.95,3000,2,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.9462227912932138,0.9430217669654289,0.9449423815620999,0.9513444302176697,0.9513132607303011,0.9473689261537427,0.0033900426131960436,21
