mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cvec__max_df,param_cvec__max_features,param_cvec__min_df,param_cvec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03253636360168457,0.004068818348707632,0.005021238327026367,0.006448651483462584,0.9,3000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.8350515463917526,0.7989690721649485,0.845360824742268,0.8031088082901554,0.7927461139896373,0.8150472731157524,0.021059247603317063,5
0.08521223068237305,0.010843580036449167,0.011202478408813476,0.002109750541671717,0.9,3000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.8247422680412371,0.7731958762886598,0.8402061855670103,0.8238341968911918,0.8082901554404145,0.8140537364457028,0.02278787533691584,11
0.027804756164550783,0.004032945288176616,0.008516597747802734,0.0030529918351248917,0.9,3000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.8247422680412371,0.7835051546391752,0.8092783505154639,0.8134715025906736,0.8134715025906736,0.8088937556754449,0.013695370412064657,13
0.07809982299804688,0.005096244794165349,0.011326265335083009,0.002314855867442261,0.9,3000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.8195876288659794,0.7835051546391752,0.8247422680412371,0.8186528497409327,0.7875647668393783,0.8068105336253406,0.01754184677735306,19
0.026105403900146484,0.0032621026260208205,0.005496454238891601,0.004624616221273972,0.9,4000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.8350515463917526,0.7989690721649485,0.845360824742268,0.8031088082901554,0.7927461139896373,0.8150472731157524,0.021059247603317063,5
0.07426133155822753,0.008419767134408798,0.010799932479858398,0.0011016564992217147,0.9,4000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.8350515463917526,0.7783505154639175,0.8556701030927835,0.8238341968911918,0.8186528497409327,0.8223118423161158,0.025390461479470078,1
0.02876448631286621,0.0017505543960068353,0.005746984481811523,0.003207527272803345,0.9,4000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.8247422680412371,0.7835051546391752,0.8092783505154639,0.8134715025906736,0.8134715025906736,0.8088937556754449,0.013695370412064657,13
0.07887406349182129,0.006881495474814744,0.010693216323852539,0.0052300183169482675,0.9,4000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.8195876288659794,0.7835051546391752,0.8247422680412371,0.8186528497409327,0.7875647668393783,0.8068105336253406,0.01754184677735306,19
0.026906967163085938,0.004606846146971771,0.005714130401611328,0.00472951743248347,0.9,5000,2,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.8350515463917526,0.7989690721649485,0.845360824742268,0.8031088082901554,0.7927461139896373,0.8150472731157524,0.021059247603317063,5
0.09211668968200684,0.030304879662164573,0.011220932006835938,0.0012111258687730333,0.9,5000,2,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.8402061855670103,0.7783505154639175,0.8556701030927835,0.8186528497409327,0.8082901554404145,0.8202339618610118,0.02666078518951664,3
0.027329111099243165,0.0013528693449418327,0.006390714645385742,0.001348440418373614,0.9,5000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.8247422680412371,0.7835051546391752,0.8092783505154639,0.8134715025906736,0.8134715025906736,0.8088937556754449,0.013695370412064657,13
0.07359123229980469,0.0055743644626277756,0.01071915626525879,0.0017566216658899375,0.9,5000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.8195876288659794,0.7835051546391752,0.8247422680412371,0.8186528497409327,0.7875647668393783,0.8068105336253406,0.01754184677735306,19
0.026293087005615234,0.002935359744807673,0.006420278549194336,0.003857650572751497,0.95,3000,2,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.8350515463917526,0.7989690721649485,0.845360824742268,0.8031088082901554,0.7927461139896373,0.8150472731157524,0.021059247603317063,5
0.08117423057556153,0.011272386615566402,0.010291337966918945,0.0013143542836667257,0.95,3000,2,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.8247422680412371,0.7731958762886598,0.8402061855670103,0.8238341968911918,0.8082901554404145,0.8140537364457028,0.02278787533691584,11
