mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04360513687133789,0.0064509937854412116,0.0030001163482666015,1.6444038958164084e-05,100,l2,newton-cg,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.025184059143066408,0.013500076934706428,0.0024054527282714845,0.000806889946974308,100,l2,lbfgs,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.011593294143676759,0.002423542930340489,0.003409719467163086,0.0010257539649125862,100,l2,liblinear,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.02199254035949707,0.0014100694916871414,0.003207969665527344,0.00041159556007464904,10,l2,newton-cg,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.013195466995239259,0.0007511887190992573,0.0027927875518798826,0.00039849288443336153,10,l2,lbfgs,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.009989690780639649,2.019640392061497e-05,0.0028125286102294923,0.0004075340206676642,10,l2,liblinear,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.87248322147651,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8925164965314986,0.012412841392232697,7
0.021801519393920898,0.0011640887499277388,0.005985784530639649,0.005046148534215609,1.0,l2,newton-cg,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8909395973154363,0.8758389261744967,0.9126050420168067,0.8974789915966387,0.8907563025210085,0.8935237719248773,0.01188973713335357,3
0.012788724899291993,0.0018345631226853124,0.0028020381927490235,0.000381303291968115,1.0,l2,lbfgs,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8909395973154363,0.8758389261744967,0.9126050420168067,0.8974789915966387,0.8907563025210085,0.8935237719248773,0.01188973713335357,3
0.008901691436767578,0.0002068543884676391,0.0032015323638916017,0.0014808784357901402,1.0,l2,liblinear,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8909395973154363,0.8758389261744967,0.9109243697478991,0.8974789915966387,0.8907563025210085,0.8931876374710959,0.011357378658154638,6
0.01952199935913086,0.0009917998701313717,0.0028943538665771483,0.0006595249935559185,0.1,l2,newton-cg,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8942953020134228,0.87751677852349,0.9126050420168067,0.9025210084033614,0.8873949579831932,0.8948666177880547,0.01208644210899989,1
0.01158590316772461,0.00048749013511148324,0.0032009601593017576,0.0003970673265181576,0.1,l2,lbfgs,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8942953020134228,0.87751677852349,0.9126050420168067,0.9025210084033614,0.8873949579831932,0.8948666177880547,0.01208644210899989,1
0.008684206008911132,0.0003823754584971251,0.0026030540466308594,0.0004974486499095213,0.1,l2,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8926174496644296,0.8758389261744967,0.9092436974789916,0.8974789915966387,0.892436974789916,0.8935232079408945,0.010747242788320113,5
0.024594831466674804,0.001973110280807043,0.002992725372314453,0.0006305249061988467,0.01,l2,newton-cg,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'newton-cg'}",0.8758389261744967,0.8741610738255033,0.9025210084033614,0.8907563025210085,0.8857142857142857,0.885798319327731,0.010381252176621338,14
0.012390804290771485,0.0014959681946599274,0.004018354415893555,0.0015401550960481988,0.01,l2,lbfgs,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs'}",0.8758389261744967,0.8741610738255033,0.9025210084033614,0.8907563025210085,0.8857142857142857,0.885798319327731,0.010381252176621338,14
0.009789276123046874,0.0014737159976076692,0.003034543991088867,0.0006360405967825336,0.01,l2,liblinear,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.8942953020134228,0.8708053691275168,0.9042016806722689,0.892436974789916,0.8957983193277311,0.8915075291861712,0.011106460638310767,13
